JT (James Thomas),6,0,Kitten,Domestic Long Hair Mix,Orange / Red,Small,Male,"Friendly, Affectionate, Gentle, Playful, Curious, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$100.00,,Long,50,Sammyvale Animal Sanctuary,1,No
Pepsi,2,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Female,"Friendly, Affectionate, Playful, Funny, Loves kisses",,Yes,,"Other cats, dogs, children.",,,53,Meows Kitty Cat Rescue Inc.,1,No
Viola,0,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,"Friendly, Playful, Funny, Independent",,Yes,,"Other cats, dogs, children.",,,Short,68,Meows Kitty Cat Rescue Inc.,1,No
Maestro,0,0,Kitten,Domestic Short Hair,Gray & White,Medium,Male,"Friendly, Playful, Independent, Funny",,Yes,,"Other cats, dogs, children.",,,Short,61,Meows Kitty Cat Rescue Inc.,1,No
Tympani,0,0,Kitten,Domestic Short Hair,Gray & White,Medium,Female,"Friendly, Playful, Curious, Independent",,Yes,,"Other cats, dogs, children.",,,Short,60,Meows Kitty Cat Rescue Inc.,1,No
Clarinet,0,0,Kitten,Domestic Short Hair,Gray & White,Medium,Female,"Friendly, Affectionate, Playful, Curious, Funny",,Yes,,"Other cats, children.",,,57,Meows Kitty Cat Rescue Inc.,1,No
Fancy (Courtesy Post),0,0,Senior,Domestic Short Hair,Calico,Medium,Female,"Friendly, Affectionate, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered, special needs.",Other cats.,,,Short,87,"Best Friend Dog and Animal Adoption, Inc.",1,No
Courtesy LIsting,0,0,Adult,Domestic Short Hair,Dilute Tortoiseshell,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,79,Humane Society of Westchester at New Rochelle,1,No
Clarence,0,0,Kitten,Domestic Short Hair,,Small,Male,,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs.",,,55,Humane Society of Westchester at New Rochelle,1,No
Miss Misstoffelees,6,0,Young,Domestic Short Hair,Black,Medium,Female,", Affectionate, Gentle, Playful, Friendly, Curious, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$150.00,"Dogs, children.",Short,364,AdvoCat Rescue,1,No
Fries & Mash - Bonded Brothers,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Friendly, Affectionate, Playful, Gentle, Curious, Independent, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$125.00,Children.,Short,229,AdvoCat Rescue,1,No
Mash & Fries - Bonded Brothers,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Playful, Gentle, Curious, Independent, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$125.00,Children.,Short,229,AdvoCat Rescue,1,No
Reilly - R-Kitties,6,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Small,Male,"Friendly, Affectionate, Playful",,Yes,Vaccinations up to date.,Other cats.,$200.00,,Short,215,AdvoCat Rescue,1,No
Ramsey - R-Kitties,6,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Small,Male,"Friendly, Affectionate, Playful",,Yes,Vaccinations up to date.,Other cats.,$200.00,,Short,215,AdvoCat Rescue,1,No
Natasha,0,0,Kitten,Domestic Short Hair,Black,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,$175.00,,20,Mt. Pleasant Animal Shelter,1,No
Timmy,2,0,Kitten,Tabby,Orange & White,Small,Male,"Friendly, Affectionate, Gentle, Playful, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Medium,24,Pequannock Animal Shelter,1,No
ns up to date.,Other cats.,$200.00,,Short,244,AdvoCat Rescue,1,No
Heather,3,1,Young,Domestic Short Hair,Dilute Tortoiseshell,Medium,Female,"Friendly, Affectionate, Loyal, Gentle, Playful, Independent, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,Dogs.,Short,73,Happy Friends Rescue,1,No
LEXI N.,3,1,Young,Domestic Short Hair,Tabby (Leopard / Spotted),Small,Female,"Friendly, Affectionate, Loyal, Gentle, Quiet, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,79,Bronx Tails Cat Rescue,1,No
Penny,1,1,Kitten,Dilute Tortoiseshell,Dilute Tortoiseshell,Small,Female,"Playful, Friendly, Gentle",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,39,Who Rescued Who Animal Rescue,1,No
Miss Misstoffelees,6,0,Young,Domestic Short Hair,Black,Medium,Female,", Affectionate, Gentle, Playful, Friendly, Curious, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$150.00,"Dogs, children.",Short,364,AdvoCat Rescue,1,No
Fries & Mash - Bonded Brothers,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Friendly, Affectionate, Playful, Gentle, Curious, Independent, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$125.00,Children.,Short,229,AdvoCat Rescue,1,No
