PENNY RIVERA,5,0,Young,Domestic Short Hair,Black,Small,Female,"THE SWEETEST, SNUGGLY, SPECIAL, PLAYFUL, LOVEBUG",,Yes,"Vaccinations up to date, spayed / neutered, special needs.",Children.,,,Short,199,Bronx Tails Cat Rescue,14,No
Penny,1,1,Kitten,Dilute Tortoiseshell,Dilute Tortoiseshell,Small,Female,"Playful, Friendly, Gentle",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,39,Who Rescued Who Animal Rescue,14,No
Miss Misstoffelees,6,0,Young,Domestic Short Hair,Black,Medium,Female,", Affectionate, Gentle, Playful, Friendly, Curious, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$150.00,"Dogs, children.",Short,364,AdvoCat Rescue,14,No
Fries & Mash - Bonded Brothers,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Friendly, Affectionate, Playful, Gentle, Curious, Independent, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$125.00,Children.,Short,229,AdvoCat Rescue,14,No
Mash & Fries - Bonded Brothers,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Playful, Gentle, Curious, Independent, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$125.00,Children.,Short,229,AdvoCat Rescue,14,No
The Jimmy,6,0,Kitten,Domestic Short Hair,Gray & White,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,,Short,264,AdvoCat Rescue,14,No
Hermione - Hogwarts Kittens,6,0,Kitten,Domestic Short Hair,Calico,Medium,Female,,,Yes,Vaccinations up to date.,Other cats.,$200.00,,Short,244,AdvoCat Rescue,14,No
Ron - Hogwarts Kittens,6,0,Kitten,Domestic Short Hair,Tabby (Buff / Tan / Fawn),Medium,Male,,,Yes,Vaccinations up to date.,Other cats.,$200.00,,Short,244,AdvoCat Rescue,14,No
Harry - Hogwarts Kittens,6,0,Kitten,Domestic Short Hair,Buff / Tan / Fawn,Medium,Male,,,Yes,Vaccinations up to date.,Other cats.,$200.00,,Short,244,AdvoCat Rescue,14,No
Casper,3,0,Adult,Domestic Short Hair,Gray & White,Medium,Male,"Friendly, Affectionate, Smart, Gentle",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$150.00,,Short,34,Brooklyn Adoptables,14,No
Sally,3,0,Adult,Bombay,Black,Medium,Female,"Friendly, Playful, Curious, Smart",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$150.00,,Short,34,Brooklyn Adoptables,14,No
Kira,3,0,Young,Calico,Calico,Small,Female,"Friendly, Affectionate, Loyal, Playful, Smart, Curious",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,39,Brooklyn Adoptables,14,No
Pudder,3,0,Young,American Shorthair & Tabby Mix,Tabby (Buff / Tan / Fawn),Medium,Male,"Friendly, Affectionate, Loyal, Gentle, Playful, Curious, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Medium,77,Adopt-A-Buddy,14,No
Stacey,3,0,Young,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,"Friendly, Affectionate, Loves kisses, Gentle, Playful",,Yes,"Vaccinations up to date, spayed / neutered.",Children.,,Other cats.,Short,59,Brooklyn Adoptables,14,No
Rita Hayworth,6,0,Adult,American Shorthair & Tabby Mix,Orange & White,Medium,Female,"Friendly, Affectionate, Playful, Smart, Independent, Couch potato, Dignified, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Children.,,"Other cats, dogs.",Medium,114,Adopt-A-Buddy,14,No
Rosie,5,0,Adult,American Shorthair & Tabby Mix,Tabby (Buff / Tan / Fawn),Medium,Female,"Smart, Couch potato, Independent, Friendly, Playful, Affectionate",,Yes,"Vaccinations up to date, spayed / neutered.",,,"Other cats, dogs, children.",Medium,81,Adopt-A-Buddy,14,No
The Cliffs,4,0,Kitten,Domestic Short Hair,Black,Small,Male,"Friendly, Affectionate, Loyal, Gentle, Playful, Smart",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",$150.00,,Short,68,Animal Life Savers Inc.,14,No
MetroRock,3,0,Kitten,Domestic Short Hair,Black,Small,Male,"Friendly, Affectionate, Loyal, Gentle, Smart, Playful",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",$150.00,,Short,67,Animal Life Savers Inc.,14,No
Vital,5,0,Kitten,Domestic Short Hair,Black,Small,Male,"Affectionate, Friendly, Loyal, Gentle, Playful, Smart",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",$150.00,,Short,67,Animal Life Savers Inc.,14,No
BKB,4,0,Kitten,Domestic Short Hair,Black,Small,Male,"Friendly, Affectionate, Gentle, Playful, Loyal, Smart",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,66,Animal Life Savers Inc.,14,No
Jean and Boots,4,0,Young,Domestic Short Hair,Black & White / Tuxedo,Small,Female,"Friendly, Affectionate, Loyal, Gentle",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,74,Animal Life Savers Inc.,14,No
Fudge,3,0,Adult,Domestic Short Hair & Tabby Mix,Tabby (Buff / Tan / Fawn),Small,Female,"Quiet, Friendly, Couch potato",,Yes,"Vaccinations up to date, spayed / neutered.",Dogs.,,,Short,,Animal Life Savers Inc.,14,No
Rye,3,1,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Friendly, Brave, Funny, Athletic, Curious, Playful, Loves kisses, Affectionate",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children, other animals. All.",$150.00,,Short,49,Animal Life Savers Inc.,14,No
Wheat,5,1,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Friendly, Brave, Funny, Athletic, Curious, Playful, Loves kisses, Affectionate",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children, other animals. All.",$150.00,,Short,49,Animal Life Savers Inc.,14,No
Barley,2,1,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Female,"Friendly, Brave, Funny, Athletic, Curious, Playful, Loves kisses, Affectionate",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children, other animals. All.",$150.00,,Short,49,Animal Life Savers Inc.,14,No
Nicolas,4,0,Kitten,Domestic Short Hair,Black,Small,Male,"Friendly, Affectionate, Brave, Playful, Curious, Independent, Funny, Athletic",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children, other animals. All.",$150.00,,Short,129,Animal Life Savers Inc.,14,No
Mr Cool,2,0,Young,Bombay Mix,,Medium,Male,"Friendly, Affectionate, Gentle, Playful, Smart, Brave, Curious, Independent, Funny, Couch potato, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,57,"Animals Are Forever, Inc",14,No
Stacy,3,0,Young,American Shorthair Mix,,Medium,Female,"Friendly, Affectionate, Gentle, Playful, Smart, Loves kisses, Couch potato, Funny",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,45,"Animals Are Forever, Inc",14,No
Cupcake,2,0,Kitten,American Shorthair Mix,Tabby (Orange / Red),Small,Male,"Friendly, Affectionate, Gentle, Playful, Smart, Curious, Independent, Funny, Couch potato, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,46,"Animals Are Forever, Inc",14,No
Ice cube,2,0,Young,American Shorthair Mix,Tabby (Orange / Red),Small,Male,"Friendly, Affectionate, Playful, Curious, Funny, Couch potato",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,56,"Animals Are Forever, Inc",14,No
Gordon Ramsey,2,0,Kitten,American Shorthair,Tabby (Orange / Red),Small,Male,"Friendly, Affectionate, Gentle, Playful, Quiet, Curious, Brave, Couch potato, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,53,"Animals Are Forever, Inc",14,No
Elvis,4,0,Young,Bombay,,Small,Male,"Friendly, Affectionate, Gentle, Couch potato, Athletic, Curious",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,35,"Animals Are Forever, Inc",14,No
Kira,5,0,Young,Tortoiseshell & Calico Mix,Tortoiseshell,Small,Female,"Friendly, Affectionate, Playful, Smart, Curious, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs.",,,46,"Animals Are Forever, Inc",14,No
Peach and Banana (Bonded Pair),6,0,Young,Domestic Short Hair & Domestic Medium Hair Mix,Tabby (Orange / Red),Medium,Male,"Friendly, Affectionate, Gentle, Playful, Smart, Curious, Funny, Loyal, Brave, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,,374,Frisky Fosters,14,No
Peri and Simone,5,0,Kitten,Calico,Calico,Medium,Female,"Friendly, Affectionate, Gentle, Playful, Smart, Curious, Independent, Athletic",,Yes,Vaccinations up to date.,"Other cats, children.",,,Short,283,Lucky Black Cats of Mew York,14,No
Leo,2,0,Senior,Domestic Short Hair,Tabby (Gray / Blue / Silver),Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,80,Bergen County Animal Shelter,14,No
Bonnie & Cherry - MUST GO TOGETHER,4,0,Kitten,Domestic Short Hair Mix,Gray / Blue / Silver,Small,Female,"Friendly, Affectionate, Curious, Independent",,Yes,Vaccinations up to date.,"Other cats, children.",$299.97,,Short,198,Cat Castle NYC,14,No
Pancake,6,0,Adult,Domestic Short Hair,Black,Medium,Female,"Playful, Loyal, Friendly",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,189,WaHi Cats (Washington Heights Cat Co…,14,No
Cricket & Hopper - must go together,5,0,Kitten,Domestic Long Hair & Domestic Short Hair Mix,Black & White / Tuxedo,Small,Female,"Affectionate, Friendly, Playful, Curious, Athletic, Couch potato",,Yes,Vaccinations up to date.,"Other cats, children.",$300.00,,259,Cat Castle NYC,14,No
Cricket & Hopper - must go together,5,0,Kitten,Domestic Long Hair & Domestic Short Hair Mix,Black & White / Tuxedo,Small,Female,"Affectionate, Friendly, Playful, Curious, Athletic, Couch potato",,Yes,Vaccinations up to date.,"Other cats, children.",$300.00,,259,Cat Castle NYC,14,No
Star,2,0,Kitten,Domestic Short Hair,Gray & White,Small,Female,"Friendly, Affectionate, Loyal, Playful, Smart, Curious, Funny, Gentle, Loves kisses",,Yes,Vaccinations up to date.,"Dogs, children, other animals. friendly dogs.",$150.00,,Short,40,Animal Adoption Veterinary Center,14,No
Bell,2,0,Kitten,Domestic Short Hair,Gray & White,Small,Female,"Friendly, Affectionate, Loyal, Playful, Smart, Curious, Funny, Gentle, Loves kisses",,Yes,Vaccinations up to date.,"Dogs, children, other animals. friendly dogs.",,,Short,40,Animal Adoption Veterinary Center,14,No
RINGO,3,0,Kitten,Bombay & Siamese Mix,Black,Small,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",Children.,,,Short,104,"For Blake's Sake Rescue, Inc.",14,No
LUCY,3,0,Kitten,Bombay & Burmese Mix,Black,Small,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",Children.,,,Short,108,"For Blake's Sake Rescue, Inc.",14,No
PENNY,4,0,Kitten,Tabby & Russian Blue Mix,Gray & White,Small,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",Children.,,,Short,106,"For Blake's Sake Rescue, Inc.",14,No
SIXX,3,0,Kitten,Tabby & Bengal Mix,Tabby (Brown / Chocolate),Small,Male,,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,107,"For Blake's Sake Rescue, Inc.",14,No
Brandy,0,0,Kitten,Domestic Short Hair,Orange & White,Medium,Female,"Friendly, Affectionate, Gentle, Playful, Loyal",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children, other animals. Good with all other pets.",$175.00,,Short,92,Yellow Brick Road Rescue NJ,14,No
Jessica,2,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,"Friendly, Affectionate, Gentle, Playful, Loyal",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children, other animals. Good with all other pets.",$175.00,,Short,92,Yellow Brick Road Rescue NJ,14,No
Skittles,0,0,Kitten,Domestic Short Hair,Tabby (Gray / Blue / Silver),Medium,Female,"Friendly, Affectionate, Loyal, Gentle, Playful",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children, other animals. All other pets.",$175.00,,Short,103,Yellow Brick Road Rescue NJ,14,No
Kit Kat,0,0,Kitten,Domestic Short Hair,Black,Medium,Female,"Friendly, Affectionate, Loyal, Gentle, Playful",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children, other animals. All other pets.",$175.00,,Short,109,Yellow Brick Road Rescue NJ,14,No
Jelly Bean,0,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,"Friendly, Affectionate, Loyal, Gentle, Playful",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children, other animals. All other pets.",$175.00,,Short,108,Yellow Brick Road Rescue NJ,14,No
Reese,0,0,Kitten,Domestic Short Hair,Gray / Blue / Silver,Medium,Male,"Friendly, Affectionate, Loyal, Gentle, Playful",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children, other animals. All other pets.",$175.00,,Short,103,Yellow Brick Road Rescue NJ,14,No
Bacon,0,0,Kitten,Domestic Short Hair,Gray / Blue / Silver,Medium,Male,"Friendly, Affectionate, Gentle, Playful, Loyal",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children, other animals. Good with all other pets.",$175.00,,Short,92,Yellow Brick Road Rescue NJ,14,No
Eggs,0,0,Kitten,Domestic Short Hair,Tabby (Gray / Blue / Silver),Medium,Male,"Friendly, Affectionate, Gentle, Playful, Loyal",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children, other animals. Good with all other pets.",$175.00,,Short,92,Yellow Brick Road Rescue NJ,14,No
Pancake,0,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Male,"Friendly, Affectionate, Gentle, Playful, Loyal",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children, other animals. Good with all other pets.",$175.00,,Short,92,Yellow Brick Road Rescue NJ,14,No
Blueberry Muffin,0,0,Adult,Domestic Short Hair,Gray / Blue / Silver,Medium,Female,"Friendly, Affectionate, Gentle, Playful, Loyal, Smart",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children, other animals. Good with all other pets.",$100.00,,Short,99,Yellow Brick Road Rescue NJ,14,No
Ruby’s Kittens,4,0,Kitten,Domestic Short Hair,Tabby (Tiger Striped),Small,Male,"Friendly, Affectionate, Playful, Smart, Curious, Athletic, Funny, Brave",,Yes,Vaccinations up to date.,"Other cats, dogs, children.",$100.00,,Short,25,A Purrfect World,14,No
Balboa,6,0,Senior,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,"Brave, Smart, Friendly, Dignified, Loyal",,Yes,"Vaccinations up to date, spayed / neutered.",,,Other cats.,Short,157,daps animals,14,No
Sylvie Loo,6,0,Adult,Domestic Short Hair,Gray & White,Medium,Female,"Friendly, Gentle, Quiet, Playful",,Yes,"Vaccinations up to date, spayed / neutered.",,,Other cats.,79,daps animals,14,No
Clara,4,0,Young,Domestic Short Hair & Tabby Mix,Tabby (Buff / Tan / Fawn),Medium,Female,"Playful, Curious, Brave, Friendly",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,73,daps animals,14,No
Cosmo,4,0,Adult,Domestic Short Hair,Gray / Blue / Silver,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,87,Bloomfield Animal Shelter - John A. Bukow…,14,No
Diamond,2,0,Kitten,American Shorthair,Tabby (Tiger Striped),Small,Female,"Friendly, Affectionate, Gentle, Playful",,Yes,Vaccinations up to date.,"Other cats, children.",$175.00,,Short,27,Miss Pats Cats,14,No
Chevy,0,0,Kitten,American Shorthair,Black,Small,Male,"Friendly, Affectionate, Playful",,Yes,Vaccinations up to date.,Other cats.,$175.00,,Short,12,Miss Pats Cats,14,No
Chauncy,0,0,Kitten,American Shorthair,White,Small,Male,"Friendly, Affectionate, Playful",,Yes,Vaccinations up to date.,Other cats.,$175.00,,Short,13,Miss Pats Cats,14,No
Winter & Bowie,6,0,Young,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,"Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Curious, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,200,Staten Island Hope Animal Rescue,14,No
Blossom & Boo,4,0,Kitten,Domestic Short Hair,Black,Medium,Female,"Friendly, Affectionate, Playful, Smart, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$225.00,,137,Dreamers Rescue,14,No
Garlic,5,0,Kitten,Domestic Short Hair,Orange & White,Medium,Male,"Friendly, Affectionate, Playful, Gentle, Curious, Smart, Funny",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,125,Cameron Animal Hospital Rescue,14,No
Onion,5,0,Kitten,Domestic Short Hair,Orange & White,Medium,Male,"Friendly, Affectionate, Gentle, Playful, Curious, Funny",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$175.00,,Short,125,Cameron Animal Hospital Rescue,14,No
Glow,5,0,Adult,Domestic Short Hair,Orange & White,Medium,Male,"Friendly, Affectionate, Playful, Smart",,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, children.",,,Short,71,PAWS - Montclair,14,No
Abandoned Cats Coming In,6,0,Adult,Domestic Short Hair,,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,129,Friends of the Clifton Animal Shelter,14,No
Bangs,3,1,Adult,Domestic Short Hair,,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,,Friends of the Clifton Animal Shelter,14,No
Grammy,3,0,Young,Domestic Short Hair,,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,,Friends of the Clifton Animal Shelter,14,No
Summer,5,0,Kitten,Domestic Short Hair,,Small,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,,Friends of the Clifton Animal Shelter,14,No
Sunset,3,1,Kitten,Domestic Short Hair,,Small,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,,Friends of the Clifton Animal Shelter,14,No
Godiva,3,0,Young,Domestic Short Hair,Black,Small,Female,", Friendly, Affectionate, Gentle, Playful, Brave, Curious, Independent, Funny",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,198,Strays Hope for Life,14,No
Phoebe,6,0,Kitten,Domestic Short Hair,Black,Small,Female,", Friendly, Affectionate, Gentle, Playful, Smart, Brave, Curious, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,52,Strays Hope for Life,14,No
Champ,5,0,Kitten,Domestic Short Hair,Gray / Blue / Silver,Small,Male,", Friendly, Affectionate, Gentle, Playful, Smart, Brave, Curious, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,52,Strays Hope for Life,14,No
Frank,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,", Friendly, Affectionate, Playful, Smart, Brave, Curious, Funny, Athletic, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,90,Strays Hope for Life,14,No
Julie,6,0,Kitten,Calico,Calico,Small,Female,"Friendly, Affectionate, Playful, Smart, Funny, Loves kisses, Curious, Brave",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,73,Strays Hope for Life,14,No
Leo,2,0,Kitten,Domestic Short Hair,Gray & White,Small,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,141,West Orange TNVR,14,No
Calvin and Hobbes,0,0,Young,Domestic Short Hair,Tabby (Gray / Blue / Silver),Medium,Male,"Affectionate, Playful",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,31,Meows Kitty Cat Rescue Inc.,14,No
Amelia,2,0,Adult,Domestic Short Hair,Tabby (Buff / Tan / Fawn),Medium,Female,Gentle,,Yes,Vaccinations up to date.,"Other cats, children.",,,66,Meows Kitty Cat Rescue Inc.,14,No
Pepsi,2,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Female,"Friendly, Affectionate, Playful, Funny, Loves kisses",,Yes,,"Other cats, dogs, children.",,,53,Meows Kitty Cat Rescue Inc.,14,No
Viola,0,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,"Friendly, Playful, Funny, Independent",,Yes,,"Other cats, dogs, children.",,,Short,68,Meows Kitty Cat Rescue Inc.,14,No
Maestro,0,0,Kitten,Domestic Short Hair,Gray & White,Medium,Male,"Friendly, Playful, Independent, Funny",,Yes,,"Other cats, dogs, children.",,,Short,61,Meows Kitty Cat Rescue Inc.,14,No
Tympani,0,0,Kitten,Domestic Short Hair,Gray & White,Medium,Female,"Friendly, Playful, Curious, Independent",,Yes,,"Other cats, dogs, children.",,,Short,60,Meows Kitty Cat Rescue Inc.,14,No
Clarinet,0,0,Kitten,Domestic Short Hair,Gray & White,Medium,Female,"Friendly, Affectionate, Playful, Curious, Funny",,Yes,,"Other cats, children.",,,57,Meows Kitty Cat Rescue Inc.,14,No
Bill,4,0,Kitten,Domestic Short Hair,Tabby (Orange / Red),Small,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,99,West Orange TNVR,14,No
Flower and Daisy,6,0,Kitten,Dilute Calico,Dilute Calico,Small,Female,"Friendly, Affectionate, Gentle, Playful, Curious",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,43,Happy Homes Animal Rescue,14,No
Amira,3,0,Kitten,Domestic Short Hair & Torbie Mix,Torbie,Small,Female,"Friendly, Affectionate, Playful, Curious",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,18,Happy Homes Animal Rescue,14,No
Cynthia,2,0,Young,Domestic Short Hair & Dilute Calico Mix,Dilute Calico,Medium,Female,"Friendly, Affectionate, Gentle",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,37,Happy Homes Animal Rescue,14,No
Seamus,5,0,Kitten,Domestic Medium Hair,Gray & White,Medium,Male,"Friendly, Affectionate, Playful, Curious, Funny",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",$200.00,,Medium,46,Happy Homes Animal Rescue,14,No
Anastasia,4,0,Kitten,Domestic Short Hair,Gray & White,Small,Female,"Friendly, Gentle, Playful, Smart",,Yes,Vaccinations up to date.,"Other cats, children.",,,Short,143,Staten Island Council for Animal Welfare,14,No
Timmy,4,0,Kitten,Domestic Short Hair,Orange & White,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,21,Save The Animals Rescue Team II,14,No
Sushi,4,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,36,Save The Animals Rescue Team II,14,No
Rocky,4,0,Kitten,Domestic Short Hair,Black,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,33,Save The Animals Rescue Team II,14,No
Tigger,4,0,Adult,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,26,Save The Animals Rescue Team II,14,No
Brandy,4,0,Kitten,Domestic Long Hair,Calico,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Long,31,Save The Animals Rescue Team II,14,No
Scooter,4,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,36,Save The Animals Rescue Team II,14,No
Charlie,4,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,33,Save The Animals Rescue Team II,14,No
Emily,4,0,Adult,Tuxedo,Black & White / Tuxedo,Medium,Female,"Friendly, Affectionate, Loyal, Gentle, Playful, Curious, Loves kisses, Smart",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,46,"Friends of Linden Animal Shelter, Inc.",14,No
Rusty,5,0,Adult,Domestic Short Hair,Orange & White,Medium,Male,"Friendly, Affectionate, Loyal, Gentle, Playful, Curious, Quiet, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,47,"Friends of Linden Animal Shelter, Inc.",14,No
Dewey,5,0,Adult,Domestic Short Hair,Tabby (Tiger Striped),Medium,Male,"Friendly, Affectionate, Loyal, Gentle, Playful, Loves kisses, Curious, Independent",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Medium,43,"Friends of Linden Animal Shelter, Inc.",14,No
Eve,6,0,Kitten,Domestic Short Hair,Black,Medium,Female,"Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Curious, Loves kisses, Funny",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,60,"Friends of Linden Animal Shelter, Inc.",14,No
Autumn,5,0,Kitten,Domestic Short Hair,Black,Medium,Female,"Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Curious, Loves kisses, Funny",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,62,"Friends of Linden Animal Shelter, Inc.",14,No
Johnny,4,0,Kitten,Domestic Short Hair,Tabby (Tiger Striped),Medium,Male,"Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Quiet, Loves kisses, Curious",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,46,"Friends of Linden Animal Shelter, Inc.",14,No
Teeny,4,0,Kitten,Dilute Tortoiseshell,Dilute Tortoiseshell,Medium,Female,"Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Loves kisses, Quiet, Curious",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,38,"Friends of Linden Animal Shelter, Inc.",14,No
Buffy,4,0,Kitten,Domestic Short Hair,Buff & White,Medium,Male,"Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Curious, Loves kisses, Funny, Brave",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,45,"Friends of Linden Animal Shelter, Inc.",14,No
Timmy,5,0,Kitten,Domestic Short Hair,Gray / Blue / Silver,Medium,Male,"Friendly, Affectionate, Loyal, Playful, Smart, Gentle, Curious, Independent, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,41,"Friends of Linden Animal Shelter, Inc.",14,No
Charlie,6,0,Adult,Domestic Short Hair,Orange & White,Medium,Male,"Friendly, Affectionate, Loyal, Gentle, Curious",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,51,"Friends of Linden Animal Shelter, Inc.",14,No
Leo,3,0,Adult,Domestic Short Hair,White,Medium,Male,"Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Loves kisses, Curious",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Hairless,54,"Friends of Linden Animal Shelter, Inc.",14,No
Snowflake,5,0,Young,Tabby,Tabby (Tiger Striped),Medium,Female,"Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Curious, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,43,"Friends of Linden Animal Shelter, Inc.",14,No
