,Unnamed: 0,cat_name,num_images,num_videos,age,breed,color,size,sex,characteristics,house_trained,health,good_in_a_home_with,adoption_fee,prefers_a_home_without,coat_length,pet_story_num_words,rescue_group,data_set,num_cats,cat_id,thirty_days,other_days,spec_needs,without_story,coat_length_miss,color_miss,more_than_1_cat,video,num_pictures,pictures,breed_type,Days_On_Site,is_dupe,color_bool,pet_narrative,good_in_a_home_with_bool,prefers_a_home_without_bool,characteristics_bool
15,15,Jessica,2,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,"Friendly, Affectionate, Gentle, Playful, Loyal",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children, other animals. Good with all other pets.",$175.00,unknown,Short,92.0,Yellow Brick Road Rescue NJ,one_day,1,Jessica Yellow Brick Road Rescue NJ,False,True,False,False,Short,Tabby (Brown / Chocolate),False,False,2,True,DSH,Less Than Thirty Days,True,True,True,True,False,True
16,16,Skittles,0,0,Kitten,Domestic Short Hair,Tabby (Gray / Blue / Silver),Medium,Female,"Friendly, Affectionate, Loyal, Gentle, Playful",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children, other animals. All other pets.",$175.00,unknown,Short,103.0,Yellow Brick Road Rescue NJ,one_day,1,Skittles Yellow Brick Road Rescue NJ,False,True,False,False,Short,Tabby (Gray / Blue / Silver),False,False,0,False,DSH,Less Than Thirty Days,True,True,True,True,False,True
17,17,Sherbert & Gelato,0,0,Young,Domestic Short Hair & Tuxedo Mix,Black & White / Tuxedo,Medium,Male,unknown,Yes,Vaccinations up to date.,"Other cats, dogs, children.",,unknown,,71.0,The Animal Project,one_day,1,Sherbert & Gelato The Animal Project,False,True,False,False,unknown,Black & White / Tuxedo,True,False,0,False,DSH,Less Than Thirty Days,False,True,True,True,False,False
18,18,Pixie & Sprite,3,0,Young,Domestic Long Hair & Tabby Mix,unknown,Medium,Female,unknown,Yes,Vaccinations up to date.,"Other cats, dogs, children.",,unknown,,103.0,The Animal Project,one_day,1,Pixie & Sprite The Animal Project,False,True,False,False,unknown,unknown,True,False,3,True,DLH,Less Than Thirty Days,False,False,True,True,False,False
19,19,Zara & Frasier,3,0,Kitten,Domestic Short Hair,Gray / Blue / Silver,Medium,Female,"Friendly, Affectionate, Playful, Gentle, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,unknown,Short,53.0,For Our Friends Inc.,one_day,1,Zara & Frasier For Our Friends Inc.,False,True,False,False,Short,Gray / Blue / Silver,True,False,3,True,DSH,Less Than Thirty Days,False,True,True,True,False,True
20,20,Shannon & Nina,4,0,Kitten,Domestic Short Hair,Gray / Blue / Silver,Medium,Female,"Friendly, Affectionate, Playful, Gentle, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children, other animals. All.",,unknown,Short,53.0,For Our Friends Inc.,one_day,1,Shannon & Nina For Our Friends Inc.,False,True,False,False,Short,Gray / Blue / Silver,True,False,4,True,DSH,Less Than Thirty Days,False,True,True,True,False,True
21,21,Darcy,3,1,Adult,Domestic Short Hair,unknown,Medium,Female,unknown,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,unknown,,0.0,Friends of the Clifton Animal Shelter,one_day,1,Darcy Friends of the Clifton Animal Shelter,False,True,False,True,unknown,unknown,False,True,3,True,DSH,Less Than Thirty Days,False,False,False,True,False,False
22,22,Diesel,2,1,Adult,Siamese,unknown,Medium,Male,unknown,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,unknown,,0.0,Friends of the Clifton Animal Shelter,one_day,1,Diesel Friends of the Clifton Animal Shelter,False,True,False,True,unknown,unknown,False,True,2,True,Other,Less Than Thirty Days,False,False,False,True,False,False
23,23,Dillon,5,1,Adult,Domestic Short Hair,unknown,Medium,Male,unknown,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,unknown,,0.0,Friends of the Clifton Animal Shelter,one_day,1,Dillon Friends of the Clifton Animal Shelter,False,True,False,True,unknown,unknown,False,True,5,True,DSH,Less Than Thirty Days,False,False,False,True,False,False
24,24,Dever,2,1,Adult,Domestic Short Hair,unknown,Medium,Male,unknown,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,unknown,,0.0,Friends of the Clifton Animal Shelter,one_day,1,Dever Friends of the Clifton Animal Shelter,False,True,False,True,unknown,unknown,False,True,2,True,DSH,Less Than Thirty Days,False,False,False,True,False,False
25,25,Delilah,3,1,Adult,Domestic Short Hair,unknown,Medium,Female,unknown,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,unknown,,0.0,Friends of the Clifton Animal Shelter,one_day,1,Delilah Friends of the Clifton Animal Shelter,False,True,False,True,unknown,unknown,False,True,3,True,DSH,Less Than Thirty Days,False,False,False,True,False,False
26,26,Tigger & Cutie Pie - Brothers,4,1,Adult,Domestic Short Hair,unknown,Large,Male,unknown,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,unknown,,0.0,Friends of the Clifton Animal Shelter,one_day,1,Tigger & Cutie Pie - Brothers Friends of the Clifton Animal Shelter,False,True,False,True,unknown,unknown,True,True,4,True,DSH,Less Than Thirty Days,False,False,False,True,False,False
27,27,"Hercules, Gabby & Milo",0,0,Kitten,Domestic Short Hair Mix,Tabby (Tiger Striped),Medium,Female,"Friendly, Affectionate, Playful, Smart, Curious",Yes,Vaccinations up to date.,"Other cats, children.",,unknown,Short,112.0,Alleykattz Rescue,one_day,1,"Hercules, Gabby & Milo Alleykattz Rescue",False,True,False,False,Short,Tabby (Tiger Striped),True,False,0,False,DSH,Less Than Thirty Days,False,True,True,True,False,True
28,28,Frannie,0,0,Kitten,Domestic Short Hair Mix,Black & White / Tuxedo,Medium,Female,"Friendly, Affectionate, Gentle, Playful, Smart, Curious",Yes,Vaccinations up to date.,"Other cats, children.",,unknown,Short,103.0,Alleykattz Rescue,one_day,1,Frannie Alleykattz Rescue,False,True,False,False,Short,Black & White / Tuxedo,False,False,0,False,DSH,Less Than Thirty Days,False,True,True,True,False,True
29,29,Louie,0,0,Kitten,Domestic Short Hair Mix,Tabby (Tiger Striped),Medium,Male,"Friendly, Affectionate, Playful, Smart, Gentle, Curious",Yes,Vaccinations up to date.,"Other cats, children.",,unknown,,104.0,Alleykattz Rescue,one_day,1,Louie Alleykattz Rescue,False,True,False,False,unknown,Tabby (Tiger Striped),False,False,0,False,DSH,Less Than Thirty Days,False,True,True,True,False,True
30,30,Faith,0,0,Kitten,Domestic Short Hair Mix,Gray & White,Medium,Female,"Friendly, Affectionate, Playful, Smart, Curious",Yes,Vaccinations up to date.,"Other cats, children.",,unknown,Short,101.0,Alleykattz Rescue,one_day,1,Faith Alleykattz Rescue,False,True,False,False,Short,Gray & White,False,False,0,False,DSH,Less Than Thirty Days,False,True,True,True,False,True
