,cat_name,num_images,num_videos,age,color,sex,good_in_a_home_with,adoption_fee,prefers_a_home_without,coat_length,pet_story_num_words,rescue_group,data_set,cat_id,thirty_days,without_story,coat_length_miss,color_miss,more_than_1_cat,video,num_pictures,pictures,breed_type,Days_On_Site,color_new
22,Diesel,2,1,Adult,,Male,Other cats.,,,,0.0,Friends of the Clifton Animal Shelter,one_day,Diesel Friends of the Clifton Animal Shelter,False,True,unknown,unknown,False,True,2,True,Other,Less Than Thirty Days,Other
23,Dillon,5,1,Adult,,Male,Other cats.,,,,0.0,Friends of the Clifton Animal Shelter,one_day,Dillon Friends of the Clifton Animal Shelter,False,True,unknown,unknown,False,True,5,True,DSH,Less Than Thirty Days,Other
24,Dever,2,1,Adult,,Male,Other cats.,,,,0.0,Friends of the Clifton Animal Shelter,one_day,Dever Friends of the Clifton Animal Shelter,False,True,unknown,unknown,False,True,2,True,DSH,Less Than Thirty Days,Other
25,Delilah,3,1,Adult,,Female,Other cats.,,,,0.0,Friends of the Clifton Animal Shelter,one_day,Delilah Friends of the Clifton Animal Shelter,False,True,unknown,unknown,False,True,3,True,DSH,Less Than Thirty Days,Other
26,Tigger & Cutie Pie - Brothers,4,1,Adult,,Male,Other cats.,,,,0.0,Friends of the Clifton Animal Shelter,one_day,Tigger & Cutie Pie - Brothers Friends of the Clifton Animal Shelter,False,True,unknown,unknown,True,True,4,True,DSH,Less Than Thirty Days,Other
27,"Hercules, Gabby & Milo",0,0,Kitten,Tabby (Tiger Striped),Female,"Other cats, children.",,,Short,112.0,Alleykattz Rescue,one_day,"Hercules, Gabby & Milo Alleykattz Rescue",False,False,Short,Tabby (Tiger Striped),True,False,0,False,DSH,Less Than Thirty Days,Tabby (Tiger Striped)
28,Frannie,0,0,Kitten,Black & White / Tuxedo,Female,"Other cats, children.",,,Short,103.0,Alleykattz Rescue,one_day,Frannie Alleykattz Rescue,False,False,Short,Black & White / Tuxedo,False,False,0,False,DSH,Less Than Thirty Days,Black & White / Tuxedo
29,Louie,0,0,Kitten,Tabby (Tiger Striped),Male,"Other cats, children.",,,,104.0,Alleykattz Rescue,one_day,Louie Alleykattz Rescue,False,False,unknown,Tabby (Tiger Striped),False,False,0,False,DSH,Less Than Thirty Days,Tabby (Tiger Striped)
30,Faith,0,0,Kitten,Gray & White,Female,"Other cats, children.",,,Short,101.0,Alleykattz Rescue,one_day,Faith Alleykattz Rescue,False,False,Short,Gray & White,False,False,0,False,DSH,Less Than Thirty Days,Gray & White
31,Molly,0,0,Adult,Brown / Chocolate,Female,"Other cats, dogs.",,,Short,159.0,S.A.R.A. Inc.,one_day,Molly S.A.R.A. Inc.,False,False,Short,Brown / Chocolate,False,False,0,False,Other,Less Than Thirty Days,Other
32,Booker,3,0,Young,Orange / Red,Male,"Other cats, children.",,,Short,137.0,S.A.R.A. Inc.,one_day,Booker S.A.R.A. Inc.,False,False,Short,Orange / Red,False,False,3,True,DSH,Less Than Thirty Days,Orange / Red
33,Ghost,0,0,Senior,White,Male,,,,,37.0,Humane Society of Westchester at New Rochelle,one_day,Ghost Humane Society of Westchester at New Rochelle,False,False,unknown,White,False,False,0,False,DSH,Less Than Thirty Days,White
34,Nubuck,5,0,Kitten,Black,Male,"Other cats, dogs, children.",,,Short,64.0,Montville Animal Shelter,one_day,Nubuck Montville Animal Shelter,False,False,Short,Black,False,False,5,True,DSH,Less Than Thirty Days,Black
35,Leather,6,0,Kitten,Black,Male,"Other cats, dogs, children.",,,Long,64.0,Montville Animal Shelter,one_day,Leather Montville Animal Shelter,False,False,Long,Black,False,False,6,True,DLH,Less Than Thirty Days,Black
36,Suede,4,0,Kitten,Black,Female,"Other cats, dogs, children.",,,Long,64.0,Montville Animal Shelter,one_day,Suede Montville Animal Shelter,False,False,Long,Black,False,False,4,True,DLH,Less Than Thirty Days,Black
37,Patent,4,0,Kitten,Tabby (Buff / Tan / Fawn),Female,"Other cats, dogs, children.",,,Short,64.0,Montville Animal Shelter,one_day,Patent Montville Animal Shelter,False,False,Short,Tabby (Buff / Tan / Fawn),False,False,4,True,DSH,Less Than Thirty Days,Tabby (Buff / Tan / Fawn)
38,Sylvie,4,0,Adult,Tabby (Brown / Chocolate),Female,,,Children.,Short,263.0,City Critters Inc.,seven_days,Sylvie City Critters Inc.,False,False,Short,Tabby (Brown / Chocolate),False,False,4,True,DSH,Less Than Thirty Days,Tabby (Brown / Chocolate)
39,Carrot,6,0,Kitten,Orange / Red,Male,"Other cats, children.",,,Short,109.0,City Critters Inc.,seven_days,Carrot City Critters Inc.,False,False,Short,Orange / Red,False,False,6,True,DSH,Less Than Thirty Days,Orange / Red
40,Mickey,4,0,Adult,Black,Male,"Other cats, dogs, children.",,,Short,126.0,Ready For Rescue,seven_days,Mickey Ready For Rescue,False,False,Short,Black,False,False,4,True,DSH,Less Than Thirty Days,Black
41,Lah Lah,5,1,Senior,Black,Male,Other cats.,,,Short,171.0,Ready For Rescue,seven_days,Lah Lah Ready For Rescue,False,False,Short,Black,False,True,5,True,DSH,Less Than Thirty Days,Black
42,Jackie,6,0,Young,,Female,"Other cats, dogs, children.",$300.00,,Medium,165.0,"Good World Animal Rescue and Protection,…",seven_days,"Jackie Good World Animal Rescue and Protection,…",False,False,Medium,unknown,False,False,6,True,DSH,Less Than Thirty Days,Other
43,Dusty and Oliver,6,0,Kitten,,Female,,$300.00,,,295.0,Waggytail Rescue,seven_days,Dusty and Oliver Waggytail Rescue,False,False,unknown,unknown,True,False,6,True,DSH,Less Than Thirty Days,Other
44,Mister,2,0,Adult,Black & White / Tuxedo,Male,"Other cats, children.",,,,449.0,Brooklyn Bridge Animal Welfare Coalition,seven_days,Mister Brooklyn Bridge Animal Welfare Coalition,False,False,unknown,Black & White / Tuxedo,False,False,2,True,DSH,Less Than Thirty Days,Black & White / Tuxedo
45,Gold Fleck,3,0,Young,,Female,Other cats.,,,,150.0,Brooklyn Bridge Animal Welfare Coalition,seven_days,Gold Fleck Brooklyn Bridge Animal Welfare Coalition,False,False,unknown,unknown,False,False,3,True,DSH,Less Than Thirty Days,Other
46,Magic,3,0,Young,,Male,"Other cats, dogs, children.",,,,73.0,Brooklyn Bridge Animal Welfare Coalition,seven_days,Magic Brooklyn Bridge Animal Welfare Coalition,False,False,unknown,unknown,False,False,3,True,DSH,Less Than Thirty Days,Other
47,Dr. Dillamond,3,0,Young,Gray & White,Male,"Other cats, dogs, children.",,,,68.0,Brooklyn Bridge Animal Welfare Coalition,seven_days,Dr. Dillamond Brooklyn Bridge Animal Welfare Coalition,False,False,unknown,Gray & White,False,False,3,True,DSH,Less Than Thirty Days,Gray & White
48,Sterling,2,0,Adult,,Male,,,,,102.0,KittyKind,seven_days,Sterling KittyKind,False,False,unknown,unknown,False,False,2,True,DSH,Less Than Thirty Days,Other
49,Queenie,5,0,Adult,Calico,Female,Other cats.,$150.00,Children.,Long,132.0,Jersey Tails,seven_days,Queenie Jersey Tails,False,False,Long,Calico,False,False,5,True,DLH,Less Than Thirty Days,Calico
50,Vern and Billy Bob,4,0,Kitten,Tabby (Gray / Blue / Silver),Male,"Other cats, children.",,,Medium,161.0,Animal Lighthouse Rescue,seven_days,Vern and Billy Bob Animal Lighthouse Rescue,False,False,Medium,Tabby (Gray / Blue / Silver),True,False,4,True,DSH,Less Than Thirty Days,Tabby (Gray / Blue / Silver)
51,Miss Misstoffelees,6,0,Young,Black,Female,Other cats.,$150.00,"Dogs, children.",Short,364.0,AdvoCat Rescue,seven_days,Miss Misstoffelees AdvoCat Rescue,False,False,Short,Black,False,False,6,True,DSH,Less Than Thirty Days,Black
52,Fries & Mash - Bonded Brothers,6,0,Kitten,Black & White / Tuxedo,Male,Other cats.,$125.00,Children.,Short,229.0,AdvoCat Rescue,seven_days,Fries & Mash - Bonded Brothers AdvoCat Rescue,False,False,Short,Black & White / Tuxedo,True,False,6,True,DSH,Less Than Thirty Days,Black & White / Tuxedo
53,Mash & Fries - Bonded Brothers,6,0,Kitten,Black & White / Tuxedo,Male,Other cats.,$125.00,Children.,Short,229.0,AdvoCat Rescue,seven_days,Mash & Fries - Bonded Brothers AdvoCat Rescue,False,False,Short,Black & White / Tuxedo,True,False,6,True,DSH,Less Than Thirty Days,Black & White / Tuxedo
54,The Jimmy,6,0,Kitten,Gray & White,Male,Other cats.,$200.00,,Short,264.0,AdvoCat Rescue,seven_days,The Jimmy AdvoCat Rescue,False,False,Short,Gray & White,False,False,6,True,DSH,Less Than Thirty Days,Gray & White
55,Hermione - Hogwarts Kittens,6,0,Kitten,Calico,Female,Other cats.,$200.00,,Short,244.0,AdvoCat Rescue,seven_days,Hermione - Hogwarts Kittens AdvoCat Rescue,False,False,Short,Calico,False,False,6,True,DSH,Less Than Thirty Days,Calico
56,Ron - Hogwarts Kittens,6,0,Kitten,Tabby (Buff / Tan / Fawn),Male,Other cats.,$200.00,,Short,244.0,AdvoCat Rescue,seven_days,Ron - Hogwarts Kittens AdvoCat Rescue,False,False,Short,Tabby (Buff / Tan / Fawn),False,False,6,True,DSH,Less Than Thirty Days,Tabby (Buff / Tan / Fawn)
57,Harry - Hogwarts Kittens,6,0,Kitten,Buff / Tan / Fawn,Male,Other cats.,$200.00,,Short,244.0,AdvoCat Rescue,seven_days,Harry - Hogwarts Kittens AdvoCat Rescue,False,False,Short,Buff / Tan / Fawn,False,False,6,True,DSH,Less Than Thirty Days,Other
58,Ivory Iris,0,0,Kitten,Tabby (Gray / Blue / Silver),Female,,,,Short,49.0,Liberty Humane Society,seven_days,Ivory Iris Liberty Humane Society,False,False,Short,Tabby (Gray / Blue / Silver),False,False,0,False,DSH,Less Than Thirty Days,Tabby (Gray / Blue / Silver)
59,Ida Iris,0,0,Kitten,Tabby (Gray / Blue / Silver),Female,,,,Short,49.0,Liberty Humane Society,seven_days,Ida Iris Liberty Humane Society,False,False,Short,Tabby (Gray / Blue / Silver),False,False,0,False,DSH,Less Than Thirty Days,Tabby (Gray / Blue / Silver)
60,Ianna Iris,0,0,Kitten,Tabby (Gray / Blue / Silver),Female,,,,Short,49.0,Liberty Humane Society,seven_days,Ianna Iris Liberty Humane Society,False,False,Short,Tabby (Gray / Blue / Silver),False,False,0,False,DSH,Less Than Thirty Days,Tabby (Gray / Blue / Silver)
61,Ivan Iris,0,0,Kitten,Tabby (Gray / Blue / Silver),Male,,,,Short,49.0,Liberty Humane Society,seven_days,Ivan Iris Liberty Humane Society,False,False,Short,Tabby (Gray / Blue / Silver),False,False,0,False,DSH,Less Than Thirty Days,Tabby (Gray / Blue / Silver)
62,Picasso Petunia,0,0,Kitten,Tabby (Orange / Red),Female,,,,Short,49.0,Liberty Humane Society,seven_days,Picasso Petunia Liberty Humane Society,False,False,Short,Tabby (Orange / Red),False,False,0,False,DSH,Less Than Thirty Days,Tabby (Orange / Red)
63,Pepsi Petunia,0,0,Kitten,Tabby (Gray / Blue / Silver),Male,,,,Short,49.0,Liberty Humane Society,seven_days,Pepsi Petunia Liberty Humane Society,False,False,Short,Tabby (Gray / Blue / Silver),False,False,0,False,DSH,Less Than Thirty Days,Tabby (Gray / Blue / Silver)
64,Patch Petunia,0,0,Kitten,Tabby (Brown / Chocolate),Female,,,,Short,49.0,Liberty Humane Society,seven_days,Patch Petunia Liberty Humane Society,False,False,Short,Tabby (Brown / Chocolate),False,False,0,False,DSH,Less Than Thirty Days,Tabby (Brown / Chocolate)
65,Jackson Eo,3,1,Adult,Tabby (Gray / Blue / Silver),Male,,,,Short,49.0,Liberty Humane Society,seven_days,Jackson Eo Liberty Humane Society,False,False,Short,Tabby (Gray / Blue / Silver),False,True,3,True,DSH,Less Than Thirty Days,Tabby (Gray / Blue / Silver)
66,Kandice Kalmia Eo,0,0,Kitten,White,Female,,,,Short,87.0,Liberty Humane Society,seven_days,Kandice Kalmia Eo Liberty Humane Society,False,False,Short,White,False,False,0,False,DSH,Less Than Thirty Days,White
67,Nora Nolana,0,0,Kitten,Tortoiseshell,Female,,,,Short,49.0,Liberty Humane Society,seven_days,Nora Nolana Liberty Humane Society,False,False,Short,Tortoiseshell,False,False,0,False,DSH,Less Than Thirty Days,Tortoiseshell
68,Octavia,3,1,Kitten,Calico,Female,,,,Short,162.0,Whiskers-aGoGo Inc,seven_days,Octavia Whiskers-aGoGo Inc,False,False,Short,Calico,False,True,3,True,DSH,Less Than Thirty Days,Calico
69,Sheikh,4,0,Young,Tabby (Leopard / Spotted),Male,Other cats.,,,Short,198.0,Whiskers-aGoGo Inc,seven_days,Sheikh Whiskers-aGoGo Inc,False,False,Short,Tabby (Leopard / Spotted),False,False,4,True,DSH,Less Than Thirty Days,Other
70,"Favorite Babies-Wonton, Lichee, Sprout & Dumpling",3,0,Kitten,White,Male,Other cats.,,,,313.0,Brooklyn Animal Action,seven_days,"Favorite Babies-Wonton, Lichee, Sprout & Dumpling Brooklyn Animal Action",False,False,unknown,White,True,False,3,True,DSH,Less Than Thirty Days,White
71,Find the Lost Boys! Adorable Kittens!,3,0,Kitten,Gray / Blue / Silver,Male,"Other cats, dogs, children.",,,,313.0,Brooklyn Animal Action,seven_days,Find the Lost Boys! Adorable Kittens! Brooklyn Animal Action,False,False,unknown,Gray / Blue / Silver,False,False,3,True,DSH,Less Than Thirty Days,Gray / Blue / Silver
72,Once Upon a Time Kittens! Wolfe and Haru,3,0,Kitten,Gray & White,Male,"Other cats, dogs, children.",,,,234.0,Brooklyn Animal Action,seven_days,Once Upon a Time Kittens! Wolfe and Haru Brooklyn Animal Action,False,False,unknown,Gray & White,True,False,3,True,DSH,Less Than Thirty Days,Gray & White
73,Jack & Ace: A Royal Duo!,3,0,Kitten,Orange & White,Male,"Other cats, dogs, children.",,,,155.0,Brooklyn Animal Action,seven_days,Jack & Ace: A Royal Duo! Brooklyn Animal Action,False,False,unknown,Orange & White,True,False,3,True,DSH,Less Than Thirty Days,Orange & White
74,Royal and Oakley: Stunning sibling kittens,3,0,Kitten,Gray / Blue / Silver,Female,"Other cats, dogs, children.",,,,183.0,Brooklyn Animal Action,seven_days,Royal and Oakley: Stunning sibling kittens Brooklyn Animal Action,False,False,unknown,Gray / Blue / Silver,True,False,3,True,DSH,Less Than Thirty Days,Gray / Blue / Silver
75,Basil and Sage: Spice Kittens!,3,0,Kitten,,Female,"Other cats, dogs, children.",,,,193.0,Brooklyn Animal Action,seven_days,Basil and Sage: Spice Kittens! Brooklyn Animal Action,False,False,unknown,unknown,True,False,3,True,DSH,Less Than Thirty Days,Other
76,Thyme and Chive: Spice Kittens!,3,0,Kitten,,Male,"Other cats, children.",,,,187.0,Brooklyn Animal Action,seven_days,Thyme and Chive: Spice Kittens! Brooklyn Animal Action,False,False,unknown,unknown,True,False,3,True,DSH,Less Than Thirty Days,Other
77,Rosemary and Parsley: Spice Kittens!,3,0,Kitten,,Female,"Other cats, children.",,,,183.0,Brooklyn Animal Action,seven_days,Rosemary and Parsley: Spice Kittens! Brooklyn Animal Action,False,False,unknown,unknown,True,False,3,True,DSH,Less Than Thirty Days,Other
78,Clarissa Dilute Calico Sweet Beauty!,3,0,Young,,Female,"Other cats, children.",,,,197.0,Brooklyn Animal Action,seven_days,Clarissa Dilute Calico Sweet Beauty! Brooklyn Animal Action,False,False,unknown,unknown,False,False,3,True,DSH,Less Than Thirty Days,Other
79,Golden-Eyed Zahara Loving Young Calico,3,0,Young,,Female,"Other cats, children.",,,,170.0,Brooklyn Animal Action,seven_days,Golden-Eyed Zahara Loving Young Calico Brooklyn Animal Action,False,False,unknown,unknown,False,False,3,True,DSH,Less Than Thirty Days,Other
80,O-Mazing Olaf! Super Sweet Young Orange!,3,0,Young,Orange & White,Male,"Other cats, children.",,,,194.0,Brooklyn Animal Action,seven_days,O-Mazing Olaf! Super Sweet Young Orange! Brooklyn Animal Action,False,False,unknown,Orange & White,False,False,3,True,DSH,Less Than Thirty Days,Orange & White
