,cat_name,num_images,num_videos,age,breed,color,sex,characteristics,good_in_a_home_with,adoption_fee,prefers_a_home_without,coat_length,pet_story_num_words,rescue_group,data_set,cat_id,thirty_days,without_story,pet_narrative,coat_length_miss,color_miss,color_bool,good_in_a_home_with_bool,prefers_a_home_without_bool,characteristics_bool,more_than_1_cat,video,num_pictures,pictures,breed_type,is_dupe,Days_On_Site
17,Sherbert & Gelato,0,0,Young,Domestic Short Hair & Tuxedo Mix,Black & White / Tuxedo,Male,unknown,"Other cats, dogs, children.",,unknown,,71.0,The Animal Project,one_day,Sherbert & Gelato The Animal Project,False,False,True,unknown,Black & White / Tuxedo,True,True,False,False,True,False,0,False,DSH,False,Less Than Thirty Days
18,Pixie & Sprite,3,0,Young,Domestic Long Hair & Tabby Mix,unknown,Female,unknown,"Other cats, dogs, children.",,unknown,,103.0,The Animal Project,one_day,Pixie & Sprite The Animal Project,False,False,True,unknown,unknown,False,True,False,False,True,False,3,True,DLH,False,Less Than Thirty Days
19,Zara & Frasier,3,0,Kitten,Domestic Short Hair,Gray / Blue / Silver,Female,"Friendly, Affectionate, Playful, Gentle, Loves kisses","Other cats, dogs, children.",,unknown,Short,53.0,For Our Friends Inc.,one_day,Zara & Frasier For Our Friends Inc.,False,False,True,Short,Gray / Blue / Silver,True,True,False,True,True,False,3,True,DSH,False,Less Than Thirty Days
20,Shannon & Nina,4,0,Kitten,Domestic Short Hair,Gray / Blue / Silver,Female,"Friendly, Affectionate, Playful, Gentle, Loves kisses","Other cats, dogs, children, other animals. All.",,unknown,Short,53.0,For Our Friends Inc.,one_day,Shannon & Nina For Our Friends Inc.,False,False,True,Short,Gray / Blue / Silver,True,True,False,True,True,False,4,True,DSH,False,Less Than Thirty Days
21,Darcy,3,1,Adult,Domestic Short Hair,unknown,Female,unknown,Other cats.,,unknown,,0.0,Friends of the Clifton Animal Shelter,one_day,Darcy Friends of the Clifton Animal Shelter,False,True,False,unknown,unknown,False,True,False,False,False,True,3,True,DSH,False,Less Than Thirty Days
22,Diesel,2,1,Adult,Siamese,unknown,Male,unknown,Other cats.,,unknown,,0.0,Friends of the Clifton Animal Shelter,one_day,Diesel Friends of the Clifton Animal Shelter,False,True,False,unknown,unknown,False,True,False,False,False,True,2,True,Other,False,Less Than Thirty Days
23,Dillon,5,1,Adult,Domestic Short Hair,unknown,Male,unknown,Other cats.,,unknown,,0.0,Friends of the Clifton Animal Shelter,one_day,Dillon Friends of the Clifton Animal Shelter,False,True,False,unknown,unknown,False,True,False,False,False,True,5,True,DSH,False,Less Than Thirty Days
24,Dever,2,1,Adult,Domestic Short Hair,unknown,Male,unknown,Other cats.,,unknown,,0.0,Friends of the Clifton Animal Shelter,one_day,Dever Friends of the Clifton Animal Shelter,False,True,False,unknown,unknown,False,True,False,False,False,True,2,True,DSH,False,Less Than Thirty Days
25,Delilah,3,1,Adult,Domestic Short Hair,unknown,Female,unknown,Other cats.,,unknown,,0.0,Friends of the Clifton Animal Shelter,one_day,Delilah Friends of the Clifton Animal Shelter,False,True,False,unknown,unknown,False,True,False,False,False,True,3,True,DSH,False,Less Than Thirty Days
26,Tigger & Cutie Pie - Brothers,4,1,Adult,Domestic Short Hair,unknown,Male,unknown,Other cats.,,unknown,,0.0,Friends of the Clifton Animal Shelter,one_day,Tigger & Cutie Pie - Brothers Friends of the Clifton Animal Shelter,False,True,False,unknown,unknown,False,True,False,False,True,True,4,True,DSH,False,Less Than Thirty Days
27,"Hercules, Gabby & Milo",0,0,Kitten,Domestic Short Hair Mix,Tabby (Tiger Striped),Female,"Friendly, Affectionate, Playful, Smart, Curious","Other cats, children.",,unknown,Short,112.0,Alleykattz Rescue,one_day,"Hercules, Gabby & Milo Alleykattz Rescue",False,False,True,Short,Tabby (Tiger Striped),True,True,False,True,True,False,0,False,DSH,False,Less Than Thirty Days
28,Frannie,0,0,Kitten,Domestic Short Hair Mix,Black & White / Tuxedo,Female,"Friendly, Affectionate, Gentle, Playful, Smart, Curious","Other cats, children.",,unknown,Short,103.0,Alleykattz Rescue,one_day,Frannie Alleykattz Rescue,False,False,True,Short,Black & White / Tuxedo,True,True,False,True,False,False,0,False,DSH,False,Less Than Thirty Days
29,Louie,0,0,Kitten,Domestic Short Hair Mix,Tabby (Tiger Striped),Male,"Friendly, Affectionate, Playful, Smart, Gentle, Curious","Other cats, children.",,unknown,,104.0,Alleykattz Rescue,one_day,Louie Alleykattz Rescue,False,False,True,unknown,Tabby (Tiger Striped),True,True,False,True,False,False,0,False,DSH,False,Less Than Thirty Days
30,Faith,0,0,Kitten,Domestic Short Hair Mix,Gray & White,Female,"Friendly, Affectionate, Playful, Smart, Curious","Other cats, children.",,unknown,Short,101.0,Alleykattz Rescue,one_day,Faith Alleykattz Rescue,False,False,True,Short,Gray & White,True,True,False,True,False,False,0,False,DSH,False,Less Than Thirty Days
31,Molly,0,0,Adult,Siamese,Brown / Chocolate,Female,"Friendly, Affectionate, Loyal, Gentle, Smart, Curious, Independent, Quiet, Loves kisses","Other cats, dogs.",,unknown,Short,159.0,S.A.R.A. Inc.,one_day,Molly S.A.R.A. Inc.,False,False,True,Short,Brown / Chocolate,True,True,False,True,False,False,0,False,Other,False,Less Than Thirty Days
32,Booker,3,0,Young,Domestic Short Hair & Tabby Mix,Orange / Red,Male,"Friendly, Affectionate, Loyal, Gentle, Curious, Smart, Funny, Athletic, Loves kisses","Other cats, children.",,unknown,Short,137.0,S.A.R.A. Inc.,one_day,Booker S.A.R.A. Inc.,False,False,True,Short,Orange / Red,True,True,False,True,False,False,3,True,DSH,False,Less Than Thirty Days
33,Ghost,0,0,Senior,Domestic Short Hair,White,Male,unknown,unknown,,unknown,,37.0,Humane Society of Westchester at New Rochelle,one_day,Ghost Humane Society of Westchester at New Rochelle,False,False,True,unknown,White,True,False,False,False,False,False,0,False,DSH,True,Less Than Thirty Days
34,Nubuck,5,0,Kitten,Domestic Short Hair,Black,Male,"Friendly, Affectionate, Gentle, Playful, Smart, Brave, Curious, Independent, Funny, Athletic, Loves kisses","Other cats, dogs, children.",,unknown,Short,64.0,Montville Animal Shelter,one_day,Nubuck Montville Animal Shelter,False,False,True,Short,Black,True,True,False,True,False,False,5,True,DSH,False,Less Than Thirty Days
35,Leather,6,0,Kitten,Domestic Long Hair,Black,Male,"Friendly, Affectionate, Gentle, Playful, Smart, Brave, Curious, Independent, Funny, Athletic, Loves kisses","Other cats, dogs, children.",,unknown,Long,64.0,Montville Animal Shelter,one_day,Leather Montville Animal Shelter,False,False,True,Long,Black,True,True,False,True,False,False,6,True,DLH,False,Less Than Thirty Days
36,Suede,4,0,Kitten,Domestic Long Hair,Black,Female,"Friendly, Affectionate, Gentle, Playful, Smart, Brave, Curious, Independent, Funny, Athletic, Loves kisses","Other cats, dogs, children.",,unknown,Long,64.0,Montville Animal Shelter,one_day,Suede Montville Animal Shelter,False,False,True,Long,Black,True,True,False,True,False,False,4,True,DLH,False,Less Than Thirty Days
37,Patent,4,0,Kitten,Domestic Short Hair,Tabby (Buff / Tan / Fawn),Female,"Friendly, Affectionate, Gentle, Playful, Smart, Brave, Curious, Independent, Funny, Athletic, Loves kisses","Other cats, dogs, children.",,unknown,Short,64.0,Montville Animal Shelter,one_day,Patent Montville Animal Shelter,False,False,True,Short,Tabby (Buff / Tan / Fawn),True,True,False,True,False,False,4,True,DSH,False,Less Than Thirty Days
